country,area_mi2,pop2023,gdp2022_mill_usd
Russia,6601667,146150789,1862470
Canada,3855100,40769890,2117805
China,3705410,1409670000,17700899
United States,3677647,335893238,26949643
Brazil,3285862,203080756,2126809
Australia,2988900,26821557,1687713
India,1269219,1392329000,3732224
Argentina,1073500,46654581,621833
Kazakhstan,1052090,20075271,259292
Algeria,919595,45400000,224107
Saudi Arabia,830000,32175224,1069437
Mexico,758449,129625968,1811468
Indonesia,735358,279118866,1417387
Sudan,718723,41984500,25569
Libya,679362,6931061,40194
Iran,636371,84055000,366438
Mongolia,603908,3457548,18782
Peru,496224,33396698,264636
Chad,495800,17414717,12596
Niger,489200,25369415,17073
Angola,481350,34094077,93796
Mali,478841,22395489,21309
South Africa,470693,62027503,380906
Colombia,439735,52695952,363835
Ethiopia,426370,107334000,155804
Bolivia,424164,12006031,46796
Mauritania,397960,4475683,10357
Egypt,386662,104462545,398397
Tanzania,365756,61741120,84033
Nigeria,356669,223800000,390002
Venezuela,352140,28302000,92210
Pakistan,340682,241499431,340636
Namibia,318261,2641857,12647
Mozambique,308640,32419747,21936
Turkey,302535,85372377,1154600
Chile,291932,19960889,344400
Zambia,290585,19610769,29536
Myanmar,261228,55770232,74861
Afghanistan,252072,34262840,NA
South Sudan,248777,14746494,6267
France,248573,68394000,3049016
Somalia,246201,18143379,11515
Central African Republic,240535,5633412,2760
Ukraine,233030,36700000,173413
Madagascar,226658,26923353,15763
Botswana,225000,2410338,20756
Kenya,224081,51526000,112749
Yemen,203850,31888698,21045
Thailand,198120,68263022,512193
Spain,195120,48592909,1582054
Turkmenistan,188500,7057841,81822
Cameroon,183650,28088845,49262
Papua New Guinea,178700,11781559,31692
Sweden,173860,10549287,597110
Uzbekistan,172700,36599764,90392
Morocco,172410,37022000,147343
Iraq,169235,43324000,297695
Paraguay,157048,6109644,44142
Zimbabwe,150872,15178979,32424
Norway,149122,5550203,546768
Japan,145914,123990000,4230862
Germany,138063,84607016,4429838
Finland,130558,5574011,305689
Vietnam,127930,100300000,433356
Malaysia,127355,33379500,430895
Ivory Coast,124503,29389150,79430
Poland,120728,37620000,842172
Oman,119500,5113071,108282
Italy,116629,58989749,2186082
Philippines,100000,112892781,435675
Ecuador,109483,16938986,118686
Burkina Faso,105900,22752315,20785
New Zealand,103799,5305600,249415
Gabon,103347,2233272,19319
Guinea,94926,13261638,23205
United Kingdom,94354,67596281,3332059
Uganda,93263,45562000,52390
Ghana,92100,30832019,76628
Romania,92046,19051562,350414
Laos,91430,7443000,14244
Guyana,83000,743699,16329
Belarus,80160,9200617,68864
Kyrgyzstan,77201,7100000,12681
Senegal,75951,18275743,31141
Syria,71498,22923000,NA
Cambodia,69898,17091464,30943
Uruguay,68037,3444263,76244
Suriname,63251,616500,3539
Tunisia,63170,11850232,51271
Bangladesh,57321,169828911,446349
Nepal,56827,29164578,41339
Tajikistan,55640,10077600,11816
Greece,50949,10413982,242385
Nicaragua,50337,6733763,17353
North Korea,46540,25660000,NA
Malawi,45747,21507723,13176
Eritrea,45410,3748902,NA
Benin,44310,12606998,19940
Honduras,43433,9745149,33992
